DateFormat2,(mmddyy)
DateFormat3,(ddmmyyyy)
DateFormat4,(ddmmyy)
DateFormat5,(yyyymmdd)
DateFormat6,(yymmdd)
DateOfBirthNotNeededButtonText,Date not needed
DeactivateLeadthru,"Deactivate item or remove hard tag and touch ""Buang Keselamatan""."
DepositCard,Sila depositkan kad hadiah susut anda dalam slot kupon.
DepositCoupon,Depositkan Kupon
DepositGiftCard,Kad Hadiah Depositkan
DeviceFailureLeadthru,Go to lane and check device.
DeviceFailureTitle,Device Malfunction
DiagConfirm,Are you sure you want to generate Diagnostic Log Files?
DisableHHRapApprovalText, Disable HHRAP Approval
DisableRapApprovalText, Disable RAP Approval
Disconnected,Sila tunggu...
DisconnectedTitle,Diputuskan
Done,Siap
DoneButtonText,Siap
DoNotApproveButtonText,Do Not Approve
DropoffCouponsTitle,Turunkan Kupon.
Due,Perlu Dibayar:{0}
EASText,Item EAS masih aktif
EditCart,Sunting Cart
Enter,Masukkan
EnterAmount,Masukkan Amaun
EnterButtonText,Masukkan
EnterCouponValue,"Masukkan nilai baucar dalam sen dan sentuh ""OK"""
EnterCouponValueLeadthru,"Masukkan nilai kupon dalam sen dan sentuh ""Masukkan""."
EnterCouponValueTitle,Masukkan Nilai Kupon
EnterDataLaneButtonText,Masukkan Data
EnterId,Masukkan ID anda.
EnterIDFpLeadthru,"Key in your user ID and touch ""Masukkan"", or place your finger on the fingerprint reader to log in."
EnterIDLeadthru,Masukkan ID using keypad below.
EnterIDMessage,"Key in your user ID dan sentuh ""Masukkan""."
EnterIDText,Masukkan ID
EnterPassword,Masukkan kata laluan anda.
EnterPasswordLeadthru,Masukkan password using keypad below.
EnterPasswordMessage,"Masukkan kata laluan anda dan sentuh ""Masukkan""."
EnterPasswordText,Masukkan Password
EnterPin,Masukkan PIN
EnterPriceLeadthru,"Key in item's price and touch ""Masukkan""."
EnterPriceTitle,Price Entry
EnterQuantity,Berapakah yang anda mempunyai?
EnterQuantityLeadthru,"Masukkan kuantiti dan sentuh ""Masukkan""."
EnterQuantityTitle,Kuantiti Diperlukan
EnterWeight,Letakkan item ke atas skala:
EnterWeightLeadthru,Go to the lane and place item on scale.
EnterWeightTitle,Timbang Item
EventViewerBtnPrimaryTxt,Event Viewer
EventViewerConfirm,Are you sure you want to start the Event Viewer?
Exit,Exit All
ExitFastLaneAndRunProfileBtnPrimaryTxt,Stop SelfServ Checkout and Run Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Run Profile Manager
ExitRAPAndRunProfileBtnPrimaryTxt,Stop RAP and Run Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Run Profile Manager
ExitText,Exit
ExpandReceiptButtonText,Expand Resit
FeesAndCustomerAgreementsLeadthru,Yuran & Perjanjian Pelanggan
FeesAndCustomerAgreementsTitle,Yuran & Perjanjian Pelanggan:
FeesButtonText,Yuran
Finish,Terima kasih untuk membeli-belah dengan kita.
FinishAndAdd,Siap & Tambah
FixLaterButtonText,Fix Later
FullAssistButtonText,Full Assist
GenerateLogBtnPrimaryTxt,Generate Diagnostic Log Files
GetDiagFilesButtonText,Get Diag Files
GiftCard,Baki Kad Hadiah
GoBack,Kembali
GoBackButtonText,Kembali
GoBackCouponButtonText,Kembali
GoToLaneLeadthru, Please go to Lane for approval
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
HelpLaneButtonText,Bantuan
HelpOnWay,Bantuan akan tiba sebentar lagi. Sila teruskan.
HelpRequestLeadthru,"Touch ""Batalkan Request"" after helping customer."
HelpRequestTitle,Bantuan Requested
HH_AM_RestrictedNotAllowedLeadthru,Restricted item cancelled - age limit not met. \n\nSet item aside.
HH_AssistAtLaneLeadthru,Go to the Lane to void items.
HH_AssistedEndorsementLeadthru,Pengendorsan Diperlukan. Sila tunggu bantuan operator.
HH_CancelTransactionGenericLeadthru,"""Yes"" to cancel transaction or ""No"" to resume."
HH_CheckAgeLeadthru,"Key in birth date %s and touch ""Masukkan""."
HH_CompareSignatureLeadthru,"Compare signatures and ""Luluskan"", or ""Sign Again""."
HH_ConfirmAbortLeadthru,Stop checking out and cancel entire purchase?
HH_ContinueTransLeadthru,Continue with your purchase?
HH_CouponApprovalLeadthru,"Accept coupons from customer and ""Luluskan""."
HH_CouponLimitExceededLeadthru,"""Luluskan"" for coupons at lane or ""Approve & Collect"" to collect from customer."
HH_CouponNoMatchLeadthru,Coupon does not match any item on receipt. Coupon not accepted.
HH_CouponTooHighLeadthru,Coupon amount too high. System cannot accept.
HH_DeactivateLeadthru,"Deactivate item or remove hard tag and ""Buang Keselamatan""."
HH_EnterPriceLeadthru,"Key in item's price and ""Masukkan""."
HH_EnterQuantityLeadthru,"Key in the quantity and ""Masukkan""."
HH_HelpRequestLeadthru,"""Batalkan Request"" after helping customer."
HH_HostOfflineLeadthru,Lane is offline. System attempting to reconnect.
HH_IncorrectItemWeightLeadthru,"Remove item and ""Buang Keselamatan"", or ""Luluskan & Kemas Kini Weight""."
HH_InvalidBarcodeLeadThru,"Collect item, Touch ""Luluskan"" to continue transaction."
HH_InvalidBirthDateFormatLeadthru,Date format is invalid \nEnter in %s format.
HH_ItemNotForSaleLeadthru,"Collect item at lane and ""Buang Keselamatan""."
HH_ItemQuantityExceededLeadthru,Quantity allowed exceeded. \n\nLetakkan item ke tepi dan teruskan.
HH_KeyInCodeLeadthru,"Key in the item's code and ""Masukkan""."
HH_MultiPackItemLeadthru,"If multi-pack, ""Assist Mode"", void, then scan multi-pack barcode."
HH_NewWeightItemLeadthru,"Verify weight and ""Luluskan & Update Weight"", or ""Luluskan/No Kemas Kini""."
HH_NoInterventionLeadthru,No Intervention is required.
HH_OffLineLeadthru,Lane is offline. System attempting to reconnect.
HH_OutOfSyncNeedAssistLeadthru,"POS out-of-sync, ""Assist Mode"" to resynchronize."
HH_OutOfSyncStopLeadthru,"POS server down or out-of-sync, shutdown terminal using switch."
HH_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter on keypad.
HH_ReturnToShoppingButtonText,Return
HH_SafetyCoverOpenLeadthru,Remove all items from belt. Close safety cover.
HH_ScaleBrokenLeadthru,"Keluarkan item dari penimbang dan tekan butang ""Scale Zero"" pada pengimbas."
HH_SelectContainerLeadthru,"Select container from list and ""Masukkan""."
HH_SkipBaggingBtnThresholdLeadthru,"Check items at lane and ""Buang Keselamatan""."
HH_SuspendLeadthru1,Suspend current transaction? Sahkan or Batalkan.
HH_SuspendLeadthru2,"Current transaction suspended. Sahkan. To cancel, touch ""Kembali"" and cancel."
HH_SuspendTransactionButtonText,Suspend Trans
HH_SuspendTransactionLeadthru,"Touch ""Suspend Trans"" to suspend transaction."
HH_TMTransLeadthru,"Lane is in training mode, \ncontinue with the transaction?"
HH_TransactionCancelLeadThru,Transaksi cancelled. Remove items from checkstand.
HH_TransactionCancelLeadThru2,Transaksi cancelled.
HH_TransactionCancelTitle,Transaksi Dibatalkan
HH_UnexpectedIncreaseLeadthru,"Remove extra items at lane and ""Buang Keselamatan""."
HH_UnknownItemLeadthru,"Collect item, ""Buang Keselamatan"", or ""Assist Mode"" to complete."
HH_UnknownItemLeadthru2,"Collect item, ""Buang Keselamatan"", or use ""Assist Mode"" at Lane to complete."
HH_UpdateItemLeadthru,"Scroll to item on receipt and ""Masukkan""."
HH_UpdateNotAllowedLeadthru,Quantity change not allowed.
HH_VerifySignatureLeadthru,"Compare customer's signature with one on card."
HH_VisualApproveLeadthru,"""Visual Luluskan"", or ""Assist Mode"" to modify transaction."
HH_VisualApproveLeadthru2,"""Visual Luluskan"", or ""Assist Mode"" at Lane to modify."
HH_VoidItemLeadthru,"Scan or scroll to item on receipt. ""Item tidak sah"" or ""Batalkan Semua""."
HH_VoidLeadthru,"Collect voided item and ""Lulus Batal""."
HH_VoidNoMatchLeadthru,Tidak dapat menemui item yang diimbas. Item belum dibeli lagi atau ia sudah dibatalkan.
HopperLaneButtonText,Coin Substitution
HopperLeadThru,"%s Go to lane and refill coins or clear jam or touch ""Fix Later"" to continue"
HostOfflineLeadthru,The Lane is offline and the system is attempting to reconnect.
HostOfflineMessage,Lorong di luar talian dan sistem sedang mencuba untuk menyambung semula.
IncorrectItemWeightLeadthru,"Remove item and touch ""Buang Keselamatan"", or touch ""Luluskan & Kemas Kini Weight""."
IncorrectItemWeightTitle,Berat tidak betul pada penimbang keselamatan.
IncorrectLogin,Incorrect operator number\nand password.\nPlease try again.
IncorrectLoginTitle,Nombor Tidak Betul
InitialText,.
InsertCash,Masukkan Wang
InsertCoupon,Masukkan Kupon
InsertCouponTimerExpiredTitle,Masukkan Kupon
InsufficientBalanceTitle,Baki Tidak Mencukupi
InterfaceVersion,Software version: 
InvalidBarcodeLaneButtonText,Verify Item
InvalidBarcodeLeadThru,"Collect item at lane and touch ""Luluskan"" to continue transaction."
InvalidBarcodeScan,Ketepikan item dan teruskan dengan pembelian anda.
InvalidBirthDateFormatLeadthru,Format of Date Entered is invalid \nEnter again in %s format.
Item,{0} item
ItemNotForSaleLeadthru,"Collect item at lane and touch ""Buang Keselamatan""."
ItemNotForSaleTitle,Item Not For Sale
ItemNumberAmount,NOI :  
