VoidItemBeforeCouponMessage,ไม่สามารถยกเลิกสินค้าได้จนกว่าคูปองจะถูกยกเลิก ยกเลิกคูปองของสินค้าก่อน
VerifyBags,พนักงานจะยืนยันถุงของคุณ
CancelItems,ยกเลิกสินค้า
EnterQuantityTitle,ต้องใส่ปริมาณ
SecUnExpectedIncreaseTitle,การแจ้งเตือนการนำใส่ถุง
WeightMismatchTitle,ต้องการความช่วยเหลือ
AssistanceNeededTitle,ต้องการความช่วยเหลือ
CheckBasketTitle,ตรวจสอบตะกร้า
ConfirmDebitAmountTitle,ยืนยันจำนวน
DropoffCouponsTitle,ยื่นคูปอง.
InsufficientBalanceTitle,ยอดคงเหลือไม่พอ
OperatorPasswordStateInvalidPasswordWithFPTitle,ล็อกอินลายนิ้วมือล้มเหลว
PurchaseCrateTitle,ซื้อลัง
RestrictedItemTitle,สินค้าที่จำกัด
SecBagAreaBackupTitle,สินค้าที่สำรองไว้
SignChargeTitle,Sign ใบเสร็จรับเงิน
TakeCardTitle,รับบัตร
ContinueTitle,ดำเนินการต่อ?
ApprovalNeededTitle,ต้องมีการอนุมัติ
IncorrectLoginTitle,หมายเลขไม่ถูกต้อง
RecalledItemTitle,สินค้าที่ถูกเรียกคืน
RemovedItemTitle,การแจ้งเตือนการนำใส่ถุง
SetAllItemsAsideTitle,แยกสินค้าออก
TakeLoyaltyCardTitle,หยิบบัตรลอยัลตี้การ์ด
UnknownPriceTitle,ไม่ทราบราคา
ConfirmEBTAmountTitle,ยืนยันจำนวน
DisconnectedTitle,ตัดการเชื่อมต่อ
ShuttingDown,กำลังปิด
NoneText,ไม่มี
SMText,โหมดร้านค้า
SMLogInReceiptText,Logged into โหมดร้านค้า
SMLogOutReceiptText,Logged out of โหมดร้านค้า
WLDBOffLineText,Weight Database: Off-line
OperatorIDText,Operator ID: 
SignOnButtonText,Sign On
SignOffButtonText,Sign Off
AlertText,การแจ้งเตือน:
SuspendInProgressText,ระงับ in progress
SuspendLeadthru1,มีการร้องขอให้ระงับธุรกรรมปัจจุบัน\nโปรดยืนยันหรือยกเลิกการร้องขอนี้
SuspendLeadthru2,"You have suspended the current transaction.  Please confirm this request.  To cancel, touch ""กลับไป"" and cancel from NCR SelfServ Checkout Terminal."
ReceiptText,ใบเสร็จรับเงิน:
SuspendReasonText1,ระงับ: General
CancelSuspendButtonText,ยกเลิกการระงับ
ConfirmSuspendNowButtonText,ยืนยันการระงับ Now
ConfirmAllowSuspendButtonText,Confirm Allow \nระงับ
ConfirmSuspendRequestButtonText,ยืนยันการระงับ \nRequest
CancelSuspendNowButtonText,ยกเลิกการระงับ \nNow
GoBackButtonText,กลับไป
CancelSuspendRequestButtonText,ยกเลิกการระงับ \nRequest
CouponText,คูปอง:
SuspendReasonText2,ระงับ: คูปอง
CouponReceiptText,%d coupons totaling $%.2f
SuspendNowButtonText,ระงับ Now
RequestSuspendButtonText,Request ระงับ
NotConnectedText,Not connected.
ConnectingText,Connecting...โปรดรอ
ApprovalNeededText,ต้องมีการอนุมัติ:
SuspendReasonText3,ระงับ: Other
ClearRequestButtonText,ล้าง Request
ApproveButtonText,Approve
RestrictedItemText,สินค้าที่จำกัด:
SuspendReasonText4,ระงับ: Restricted
SecurityLogText,บันทึกความปลอดภัย:
SuspendReasonText5,ระงับ: ความปลอดภัย
SignatureText,ลายมือชื่อ:
SignatureAndNameText,ลายมือชื่อ: %s
ConnectingLeadthru,Connecting to NCR SelfServ Checkout...โปรดรอ
EnterIDLeadthru,ป้อน ID using keypad below.
EnterPasswordLeadthru,ป้อนรหัสผ่าน using keypad below.
LoggingInLeadthru,Logging in...โปรดรอ
ApproveSecurityButtonText,Approve Security
ApprovalNeededButtonText,ต้องมีการอนุมัติ
VerifySignatureButtonText,ตรวจสอบลายมือชื่อ
AllowSuspendButtonText,Allow ระงับ
MainButtonText,Main
SuspendTransactionButtonText,ระงับธุรกรรม
ApproveAndCollectButtonText,Approve & Collect
ClearApprovalsButtonText,ล้าง Approvals
BirthDateOver30ButtonText,Birthdate over 30
SignAgainButtonText,Sign Again
BackSpaceButtonText,Backspace
EnterButtonText,ป้อน
LaneNumberText,ช่องจ่ายเงิน: %d
RAPTitle,NCR SelfServ Checkout \nRemote Approval Station
CancelSuspendText,ยกเลิกการระงับ
OtherPaymentSelectedText,การชำระเงินวิธีอื่นที่ร้องขอ
CouponCollectionText,คูปอง Collection
PendingSuspendText,Pending ระงับ
SignatureApprovalText,ลายมือชื่อ Approval
LaneText,ช่องจ่ายเงิน
VideoButtonText,Video
