AmountSaved,Amount Saved
XM_EmptyCoinAcceptorLT,Remove coins from Coin Acceptor
XM_EmptyCoinHopperLT,Remove coins from device.
XM_EmptyCoinOverflow,Reset Coin Overflow
XM_EmptyCoinOverflowLT,Remove coins from Coin Overflow
XM_EmptyLoaderCassetteLT,Remove notes from Loader Cassette
XM_EmptyNoteAcceptor,Reset Note Acceptor
XM_EmptyNoteCassetteLT,Remove notes from Note Cassettes and Purge Bin
XM_EmptyNoteOverflow,Reset Cash Box
XM_Enter,Enter
XM_ExceededAmount,Amount exceeds capacity. Maximum amount needed is %s.
XM_ExceededCapacity,Count exceeds capacity. Maximum load count needed is %d.
XM_Execute,Apply Changes
XM_Exit,Exit
XM_FastLaneReport,NCR SelfServ Checkout Report
XM_FillLoaderCassette,Set Note Counts
XM_GoBack,Go Back
XM_ID,Cashier ID
XM_IDPrompt,"Key in ID and touch ""Enter""."
XM_InvalidAmount,The value entered for %s is not valid.\nPlease enter again.
XM_KeyPadEnterCoinAmount,Enter amount for %s coins using keypad.
XM_KeyPadEnterCoinCount,Enter count for %s coins using keypad.
XM_KeyPadEnterNoteAmount,Enter amount for %s notes using keypad.
XM_KeyPadEnterNoteCount,Enter count for %s notes using keypad.
XM_KeyPadInstr,Enter count using keypad
XM_ManualBothFillAlert,Open lane door and deposit notes into the cassettes and coins into the hoppers. Do not feed them into the acceptors.
XM_ManualBothRecyclerFillAlert,Open lane door and deposit notes into the loader and coins into the hoppers. Do not feed them into the acceptors.
XM_ManualCoinDispenserEmpty,Reset Coin Counts
XM_ManualCoinDispenserFill,Set Coin Counts
XM_ManualCoinFillAlert,Open lane door and deposit coins directly into the device. Do not feed them into the coin acceptor.
XM_ManualEmptyAlert,Remove All Cash From Device.
XM_ManualFillAlert,Open lane door and deposit cash directly into the device. Do not feed it into the acceptors.
XM_ManualNoteDispenserEmpty,Reset Note Counts
XM_ManualNoteDispenserFill,Set Note Counts
XM_ManualNoteFillAlert,Open lane door and deposit notes directly into the cassette. Do not feed them into the note acceptor.
XM_ManualNoteRecyclerFillAlert,Open lane door and deposit notes directly into the loader. Do not feed them into the bill acceptor.
XM_No,No
XM_NoteDispenseFailure,Failed to dispense %s.\nLow notes or note dispenser in error.
XM_PW,Cashier Password
XM_PWPrompt,"Key in password and touch ""Enter""."
XM_PendingText,Pending
XM_PleaseWait,Processing...\n\nPlease wait.
XM_Print,Print Cash Status
XM_PurgeCoinRecycler,Purge Coin Recycler
XM_PurgeNoteRecycler,Purge Note Recycler
XM_ReEnter,Incorrect Cashier number and password.\nPlease try again
XM_ResetCoinsToBaseLevel,Dispense Coins To Base Level
XM_ResetNotesToBaseLevel,Transfer Notes to Base Level
XM_SelectFunc1,Select system function
XM_SelectFunc2,Select function.
XM_StoreNumber,Store #:
XM_TransferAllNotes,Transfer All Notes
XM_TransferNotesToOverflow,Transfer Notes to Cash Box
XM_Update,Update
XM_Yes,Yes
XM_SequenceNumber,Sequence Number
XM_CardManagement,Card Management
XM_TotalCoinsInserted,Total Inserted
XM_TotalNotesInserted,Total Inserted
XM_Value,Value
XM_TransferXCount,Transfer (x) Count
XM_TransferXAmount,Transfer (x) Amount
XM_PickUpAutoAmount,Pick Up Auto Amount
XM_PickUpXAmount,Pick Up (x) Amount
XM_TransfertoCashBoxLeadThruText,"To transfer %s note(s) to the Cash Box, touch ""Apply Changes"". To undo all pending changes, touch ""Cancel Changes""."
XM_MenuDispenseFunctions,Dispense Functions
XM_MenuResetFunctions,Reset Functions
XM_MenuCashBoxTransfer,Cash Box Transfers
XM_MenuPickUpFunctions,Pick Up Functions
XM_LeadThruCashBoxTransfer,"Select desired transfer function.\nWhen finished, ""Apply Changes""."
XM_LeadThruResetFunction,"Select desired reset function.\nWhen finished, ""Apply Changes""."
XM_LeadThruDispenseFunction,"Touch denomination and enter amount\nor touch ""Dispense Coins to Base Level""."
XM_LeadThruPickUpFunction,"Select desired pick up function.\nWhen finished, ""Apply Changes""."
XM_PurgeInstructionRecycler,"Purge Operations:  Rejected notes detected.  Remove rejected notes from cash box.  Clear alert by touching ""Transfer All Notes"" and then ""Reset Cash Box""."
XM_PurgeInstructionNonRecycler,"Purge Operations: Rejected notes detected.  Remove rejected notes from purge bin.  Clear alert by touching ""Reset Note Counts""."
XM_ReplenishInstruction,"Insert cash or select denomination and enter amount, or set counts.\nWhen finished, ""Apply Changes""."
XM_KeyPadEnterPickUpAmount,Enter pickup amount using keypad.
XM_InvalidPickUpAmount,The value entered is greater than the available amount that can be transferred or dispensed.
XM_InvalidStartingBank,The starting bank configured is greater than the available amount that can be transferred or dispensed.
XM_CalculatedPickUpAmount,The calculated pickup amount is %s.
XM_UnableToPickUp,Unable to perform pickup.
XM_CoinAllowedDispenseExceeded,Attempting to dispense %d coins. Maximum coins allowed to dispense is %d.
XM_InvalidPickUpAmount2,The amount in the cashbox and coin overflow is greater than the pickup amount.
XM_LockScreen,Lock Screen
XM_SystemBusy,System busy....Please wait
XM_AreYouSure_LockScreen,Are you sure you want to lock the screen?\nThe screen cannot be unlocked until the devices finish their task.
XM_NegativeAlert,"Negative number found. Possible causes: keying error occurred, or notes were placed in the loader cassette, but the counts for these notes were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_AddCashLeadthru1,"Insert coins or touch cylinder and enter amount, or set counts."
XM_AddCashLeadthru2,"Insert cash or touch cylinder and enter amount, or set counts."
XM_AddCashLeadthru3,"Touch cylinder and enter amount, or set counts."
XM_CoinHopperEmpty,"Coin hopper must be emptied in order to reset coin counts to zero. Empty each coin hopper bin before touching ""Apply Changes""."
XM_CollectRemainingCoins,Remove coins from coin return when dispense has completed.
XM_FPIDPrompt,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
XM_LoanFailure,Loan Failure
XM_LoanFailureLeadthru,Loan was rejected. Select desired function.
XM_UndoLoan,Undo Loan
XM_CommitLoan,Commit Loan
XM_PickUpFailure,Pickup Failure
XM_PickUpFailureLeadthru,Pickup was rejected. Select desired function.
XM_UndoPickUp,Undo Pickup
XM_CommitPickUp,Commit Pickup
XM_ManualRemoveCashAlert,Remove cash from the cash box and coins from the coin overflow bin to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s\n\nCoins\nCount to remove: %d\nAmount to remove: %s
XM_POSRejectedLoanPickUp,POS rejected loan/pickup:  %s / %d  rejected.\n
XM_LoanPickUpCashierOverrides,Cashier ID %s override of loan/pickup: %s / %d  committed.\n\n
XM_PlaceJammedBill,Remove the cash box and place any jammed notes inside.
MinMaxFastLaneBtnPrimaryTxt,Minimize SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,Maximize SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"To minimize SelfServ Checkout, touch the ""Minimize SelfServ Checkout"" button."
MinMaxFastLaneBtnSecondaryShowConfirmation,"To maximize SelfServ Checkout, touch the ""Maximize SelfServ Checkout"" button."
StopStartFastLaneBtnPrimaryTxt,Stop SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Start SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Switch To RAP
ShutdownSystemBtnPrimaryTxt,Shut Down Entire System
RebootSystemBtnPrimaryTxt,Reboot Entire System
VolumeBtnPrimaryTxt,Volume Control
EventViewerBtnPrimaryTxt,Event Viewer
GenerateLogBtnPrimaryTxt,Generate Diagnostic Log Files
ExitFastLaneAndRunProfileBtnPrimaryTxt,Stop SelfServ Checkout and Run Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Run Profile Manager
TerminalInfoBtnPrimaryTxt,Terminal Information
MinMaxRAPBtnPrimaryTxt,Minimize RAP
MinMaxRAPBtnSecondaryTxt,Maximize RAP
MinMaxRAPBtnPrimaryShowConfirmation,"To minimize RAP, touch the ""Minimize RAP"" button."
MinMaxRAPBtnSecondaryShowConfirmation,"To maximize RAP, touch the ""Maximize RAP"" button."
StopStartRAPButtonPrimaryTxt,Stop RAP
StopStartRAPButtonSecondaryTxt,Start RAP
RapConfigureBtnPrimaryTxt,RAP Configure
SwitchToFastLaneBtnPrimaryTxt,Switch To SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,Stop RAP and Run Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Run Profile Manager
UtilityFunctionsTitle,NCR SelfServ Checkout\nUtility Functions
StartTitle,System Startup
SystemStartup,System starting...please wait
TerminalID,Terminal ID: 
InterfaceVersion,Software version: 
TrainingProgramPrimaryTxt,Training Program
LaunchPadNet_OperatorIDText,Operator ID: 
KeySwitchOperatorID,Keylock
LaunchPadNet_SignOnButtonText,Sign On
LaunchPadNet_SignOffButtonText,Sign Off
SignedOffButtonText,Signed Off
Exit,Exit All
LaunchPadNet_ReturnToShoppingButtonText,Return
PickListEditor,Pick List Editor
RunADDTxt,Run ADD on Next Reboot
TouchWareTxt,Calibrate Touchscreen
DiagConfirm,Are you sure you want to generate Diagnostic Log Files?
ProfileManagerFLConfirm,Are you sure you want to stop SelfServ Checkout and run Profile Manager?
ProfileManagerRAPConfirm,Are you sure you want to stop RAP and run Profile Manager?
ProfileManagerConfirm,Are you sure you want to start the Profile Manager?
EventViewerConfirm,Are you sure you want to start the Event Viewer
TrainingConfirm,Are you sure you want to start the Training Program
PicklistConfirm,Are you sure you want to start the Picklist Editor?
RunADDConfirm,Are you sure you want to run Automatic Device Detection on the next reboot?
CalibrateConfirm,Are you sure you want to calibrate the touch screen?
ShutdownConfirm,Are you sure you want to shutdown the entire system?
RebootConfirm,Are you sure you want to reboot the entire system?
CloseAllConfirm,Are you sure you want to exit all applications and go to the desktop?
VolumeConfirm,Are you sure you want to adjust the volume control?
TerminalInfoConfirm,Are you sure you want to view the terminal information?
StopFastLaneConfirm,Are you sure you want to stop SelfServ Checkout?
StopRAPConfirm,Are you sure you want to stop RAP?
StartFastLaneConfirm,Are you sure you want to start SelfServ Checkout?
StartRAPConfirm,Are you sure you want to start RAP?
WindowsLogOnTxt,Logon Windows
WindowsLogOnConfirm,Are you sure you want to exit all applications and log on as a new user?
YesText,Yes
NoText,No
CommandPromptPrimaryTxt,Command Prompt
CommandPromptConfirm,Are you sure you want to start the Command Prompt?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Are you sure you want to start the Retail Systems Manager LE?
OperatorRegistrationUtility,Operator Registration Utility
LaunchPadNet_EnterIDFpLeadthru,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
LaunchPadNet_ReEnterIDFpLeadthru,Invalid login. Please login again using the keypad or your fingerprint.
LaunchPadNet_ClearButtonText,Clear
LaunchPadNet_EnterButtonText,Enter
LaunchPadNet_GoBackButtonText,Go Back
LaunchPadNet_SpaceButtonText,Space
LaunchPadNet_BackSpaceButtonText,Backspace
LaunchPadNet_EnterIDLeadthru,Enter ID using keypad below:
ReEnterIDLeadthru,Incorrect ID or password. Please re-enter using keypad below.
LaunchPadNet_EnterPasswordLeadthru,Enter password using keypad below:
CancelButtonText,Cancel
LaunchPadNet_LoggingInLeadthru,Logging in...Please wait
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Signed Off
LaunchPadNet_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter using keypad below.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,Sign below.
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
PageIndicatorLabelFormat,Page {0} of {1}
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_Cassette,Cassette
XM_CassetteMissing,Bill Cassette is not in the unit.\nPut Bill Cassette back into the unit.
XM_Collect,Collect
XM_CollectFailure,The collect operation resulted in failure.
XM_EmptyCassetteAndRejectBin,Remove bills from Bill Cassettes and Reject Bin.
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly.  Dispensing will pause until bowl is emptied."
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GrandTotalText,Grand Total: %s
XM_InitializeError,The system encounters an error to be corrected.
XM_LeadThruGloryFunction,"Touch denomination and enter amount\nor touch ""Collect""."
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nNotes\nCount to remove: %d\nAmount to remove: %s
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or notes were placed in the loader cassette, but the counts for these notes were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_OperatorID,Operator ID %s
XM_TotalAddedText,Total Added: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalRemovedText,Total Removed: %s
DueCart,Due
ScotApp_1742,INVALID BAG
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,"Can't Scan Coupon"
ScotApp_41,Restricted Items
ScotApp_31,Coupons
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,Swipe your card.\nPlease check basket for additional items.
ScotApp_689,  Sales:      %d
ScotApp_589,Device Factory loaded.
ScotApp_389,Processing Card
ScotApp_289,289unused
ScotApp_189,Options loaded.
ScotApp_91,91unused
ScotApp_773,Amount Saved :
ScotApp_673,Please provide customer with %s change.
ScotApp_1264,USERDEFINED6
ScotApp_473,Media Level Low
ScotApp_373,Printer eject jam
ScotApp_989,989unused
ScotApp_889,%s\nActual Weight(%s): %s\nExpected Weights(%s): %s
ScotApp_1520,Please refer to the Device Manual to fix the error.
ScotApp_1042,ENDORSEMENT CHIT:\nTHIS HAS PRINTED BECAUSE A DOCUMENT\nENDORSEMENT FAILED.  PLEASE ATTACH THIS\nCHIT TO THE APPROPRIATE DOCUMENT.\n----------------------------------------\n
ScotApp_973,973unused
ScotApp_873,D.L. / I.D. Number Entry:
ScotApp_1737,Own Bag
ScotApp_752,Yesterday Summary
ScotApp_652, **No WLDB entries for this UPC
ScotApp_1054,1054unused
ScotApp_452,Check if cable is securely plugged into side of coin acceptor.
ScotApp_352,Update
ScotApp_252,\nCoin dispenser jam\n\nRemove coin dispenser jam.
ScotApp_152,152unused
ScotApp_1310,* Remove note acceptor.\n* Re-insert note acceptor until latched.\n* Check that note acceptor motor turns on and LED light is green.
ScotApp_661,(Def)
ScotApp_952,Add Zero Weight
ScotApp_852,Three Items
ScotApp_1527,Please refer to the Device Manual to fix the error.
ScotApp_1838,Verify Item
ScotApp_731,Summary
ScotApp_631,Owner Name:
ScotApp_531,\nSignature Capture Device Failure
ScotApp_331,Remove items from bag scale. Keyboard disabled.
ScotApp_231,231unused
ScotApp_131,Deposit Coupons
ScotApp_1736,"Please place your bags in the bagging area, and touch ""Done"" when finished."
ScotApp_1250,PIP CREDIT
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Change dispensed
ScotApp_710,710unused
ScotApp_610,Item Weight:
ScotApp_510,Sign Again
ScotApp_310,bin is low
ScotApp_210,210unused
ScotApp_110,Weigh Item
ScotApp_1526,Please refer to the Device Manual to fix the error.
ScotApp_1126,Coin dispenser failure.\n\nCheck the On/Off switch if present on dispenser.
ScotApp_1040,Signature
ScotApp_810, In Training
ScotApp_1735,Place Your Bags
ScotApp_1257,PIP FOODSTAMPS
ScotApp_704,PINPad Entry
ScotApp_604,Scan an item.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Select Container
ScotApp_204,Copying file to server...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Item weight approval
ScotApp_804,804unused
ScotApp_1047,Endorsement Needed. Please wait for operator assistance.
ScotApp_1478,Please refer to the Device Manual to fix the error.
ScotApp_1134,Note cassette is full.
ScotApp_1734,I brought my own bag
ScotApp_1256,PIP EBT
ScotApp_1512,Please refer to the Device Manual to fix the error.
ScotApp_1465,Cash Recycler Device Error
ScotApp_1721,Training Mode Transaction
ScotApp_1890,Processing...
ScotApp_1243,LOYALTY
ScotApp_1544,Please refer to the Device Manual to fix the error.
ScotApp_63,No
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,I corrected the problem
ScotApp_1255,PIP DEBIT CHECKING
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,Please refer to the Device Manual to fix the error.
ScotApp_93,Scan & Bag
ScotApp_83,83unused
ScotApp_1464,Terminal Number
ScotApp_1189,ENTERED ITEM
ScotApp_1720,WR:
ScotApp_1045,Pay with %s
ScotApp_672,*** TRAINING MODE TRANSACTION ***
ScotApp_572,"Key in the item's code and touch ""Enter""."
ScotApp_472,Help Needed
ScotApp_372,Printer sideways comms error
ScotApp_272,Check used coupons
ScotApp_172,"Scan unwanted item, or select item on receipt."
ScotApp_1510,Please refer to the Device Manual to fix the error.
ScotApp_1701,Failed to dispense %s.
ScotApp_972,972unused
ScotApp_872,Cancel Suspend
ScotApp_1188,ENTERED QUANTITY
ScotApp_1727,Item Look Up
ScotApp_751,Today Hourly
ScotApp_651,Default
ScotApp_551,551unused
ScotApp_451,Coin acceptor status jam
ScotApp_351,Cash / Paper Status
ScotApp_251,251unused
ScotApp_151,Please Take Cash
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s removed;LSWND3=%s;
ScotApp_851,Two Items
ScotApp_730,730unused
ScotApp_630,Credit Card #:
ScotApp_430,Out of Service
ScotApp_330,Assist Mode
ScotApp_230,Cash acceptor status rejected
ScotApp_130,Please deposit your coupons.
ScotApp_1726,Finished with Look Up
ScotApp_930,Check the communication.
ScotApp_830,I removed item or bag
ScotApp_193,193unused
ScotApp_1457,Currency is high
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Invalid Tolerance Entered
ScotApp_424,Enter Amount
ScotApp_324,Date not needed
ScotApp_224,Card reader capture bin removed
ScotApp_124,124unused
ScotApp_1469,"Failed to dispense %s to customer. %s\n* Check coin and note dispensers.\n* Touch ""Cash/Paper Status"" to refill or clear jam."
ScotApp_924,924unused
ScotApp_824,Suspend Confirmation
ScotApp_576,Begin Card Tender.
ScotApp_1247,FOODSTAMPS
ScotApp_1678,Note Recycler Error
ScotApp_1503,Please refer to the Device Manual to fix the error.
ScotApp_1756,"Select from search results or ""Go Back""."
ScotApp_1456,Incorrect Cashier number and password. \nPlease try again
ScotApp_1502,Please refer to the Device Manual to fix the error.
ScotApp_1712,Suspension Declined
ScotApp_1468,Cash Recycler Status Empty
ScotApp_1246,EBT
ScotApp_75,Done
ScotApp_65,65unused
ScotApp_55,Cancel All
ScotApp_45,45unused
ScotApp_35,Change Due:
ScotApp_1258,PIP GIFTCARD
ScotApp_15,Item Code:
ScotApp_1711,Suspend Declined
ScotApp_1683,Unrecoverable Error.  Please close the Lane.  Call Gunnebo and provide the error information shown below.\n\nSafePay Error: %s
ScotApp_95,Scan Coupons
ScotApp_85,85unused
ScotApp_1058,Asst. Tender
ScotApp_1664,Note Jam
ScotApp_797,Failed to dispense %s to customer.\n* Check notes in cassettes and note dispenser for jams.\n* Ensure note cassettes and purge bin latched.\n* Close safe door.
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Forms loading %d...
ScotApp_497,Amount Due:
ScotApp_297,297unused
ScotApp_197,Presentation Services loaded.
ScotApp_997,Enter Price
ScotApp_897,WTINFO loaded.
ScotApp_1454,"Key in password and touch ""Enter""."
ScotApp_1710,Take Your Returned Cash
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s exp;LSWND3=%s %s obv
ScotApp_1388,Training Program
ScotApp_771,Cancel Suspend
ScotApp_671,Exit Training Mode
ScotApp_571,"Key in the quantity and touch ""Enter""."
ScotApp_471,   Visual Validation
ScotApp_371,Printer replace head
ScotApp_271,Approve Used Coupons
ScotApp_971,971unused
ScotApp_871,Confirm Suspend
ScotApp_1840,Store #:
ScotApp_750,Today Summary
ScotApp_650,Regular Product
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Cash / Paper Status
ScotApp_250,250unused
ScotApp_150,Select Cash Back Amount
ScotApp_1773,"Touch ""Approve Coupon"" to accept the coupon or go to Assist Mode to void it."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s added;LSWND3=%s;
ScotApp_850,One Item
ScotApp_1405,"POS is out-of-sync, please go to Assist Mode to resynchronize."
ScotApp_1513,Please refer to the Device Manual to fix the error.
ScotApp_1657,Invalid Dept.
ScotApp_1225,UNKNOWN ITEM
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Password cannot be greater than %d digits.
ScotApp_444,Food Stamps
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Compare Signature
ScotApp_1590,BIN %s COINS ARE JAMMED
ScotApp_1669,Coin/Note Recycler Error
ScotApp_944,Too many requests to Bag/Box.  Max = %d.
ScotApp_844,844unused
ScotApp_1729,Look Up Items:
ScotApp_1447,Remove Cash
ScotApp_1703,(+)
ScotApp_1656,"Key in the Dept. code and touch ""Enter""."
ScotApp_915,Too many requests to skip belt.  Max = %d.
ScotApp_1668,A note jam may be present in the location shown. Open top cover to note recycler. Remove any jammed notes that may be present.  Close unit and replace top cover to note recycler.  Continue transaction.
ScotApp_1542,Please refer to the Device Manual to fix the error.
ScotApp_1139,Note dispenser door is open.
ScotApp_1254,PIP DEBIT SAVINGS
ScotApp_1249,PIP GENERIC
ScotApp_77,Credit
ScotApp_67,Go Back
ScotApp_57,Finish & Pay
ScotApp_47,Start
ScotApp_37,37unused
ScotApp_1458,NCR SelfServ Checkout Report
ScotApp_17,Coupon
ScotApp_1752,Weight on scale is over capacity.
ScotApp_1643,Note Recycler Error
ScotApp_97,Select Container From List
ScotApp_87,87unused
ScotApp_1665,Unlock and remove cassette.  Remove jammed note.  Re-insert cassette. Close recycler unit. Continue transaction.
ScotApp_1138,Failed to dispense %s.
ScotApp_1589,COINS ARE OUT
ScotApp_1445,Change in Count
ScotApp_1318,Scan Vouchers
ScotApp_1654,Count exceeds capacity. Maximum load count needed is %d. Count of %d automatically entered.
ScotApp_796,"Low coins or coin dispenser in error/turned off.\n* Turn coin dispenser on, OR\n* Refill, turn coin dispenser off then on, touch ""Coin Dispenser Refilled"" - Lane Status Screen."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp loaded.
ScotApp_1391,"Touch ""I corrected the problem"".\nIf the error remains, shutdown and restart the terminal."
ScotApp_396,Store assistance was required for:
ScotApp_296,296unused
ScotApp_196,Presentation Services loading...
ScotApp_1588,"Each bin must be emptied before the ""Dispenser Pickup"" button can be selected. Dump each coin hopper bin then touch ""Dispenser Pickup""."
ScotApp_996,Price Entry
ScotApp_896,WTINFO loading...
ScotApp_574,"Key in your password and touch ""Enter""."
ScotApp_1093,Print Last Receipt
ScotApp_1641,"Refill coin hopper and continue.  If coins are not dispensed, hopper may be locked.  Call for Service.\n\nSafePay Error: %s"
ScotApp_1781,THANK YOU EXPIRED
ScotApp_562,Coupons need to be sold in Assist Mode
ScotApp_874,"Key in the D.L. or I.D. # and touch ""Enter""."
ScotApp_1124,1124unused
ScotApp_770,Confirm Suspend
ScotApp_670,Enter Training Mode
ScotApp_570,570unused
ScotApp_470,   Age Restricted
ScotApp_370,Printer printer open
ScotApp_270,Approve Coupons
ScotApp_170,"Remove item from scale, and press ""Scale Zero"" button on scanner."
ScotApp_1640,Hopper Error
ScotApp_870,Alerts:
ScotApp_1733,"Select ""Go Back"" to continue."
ScotApp_1553,Currency High Status:
ScotApp_664,Scan your items or select a language.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Remove item and touch ""Clear Security,"" or touch ""Approve & Update Weight""."
ScotApp_864,Approval:
ScotApp_1647,(mmddyyyy)
ScotApp_1119,"Note dispenser will not operate with access door open.\n\nClose and latch dispenser door or safe door.\n\nIf error recurs, call for service."
ScotApp_1659,Print Receipt
ScotApp_819,Confirm suspend for voided item.
ScotApp_1339,Reboot Entire System
ScotApp_1582,Media Status
ScotApp_1154,Scanner Error
ScotApp_1117,%s note dispenser cassette out or not fully inserted.\n\nInstall or reseat %s note cassette until latched.
ScotApp_1294,Q - S
ScotApp_1030,Insert your coupon.
ScotApp_1658,Please verify that the customer received the correct change.
ScotApp_1421,Assist Mode
ScotApp_709,709unused
ScotApp_1129,Corrective action not performed properly.\n\nPlease try again.
ScotApp_509,509unused
ScotApp_409,System Message
ScotApp_309,dollar
ScotApp_209,Stop Program
ScotApp_109,Continue?
ScotApp_1338,Get Diag Files
ScotApp_909,Incorrect weight on security scale.
ScotApp_809,POS Message:
ScotApp_1645,Check that the note cover is securely fastened.
ScotApp_1116,Note dispenser will not operate if note reject bin is not present and fully latched into place.\n\nInsert note reject bin and ensure fully latched.
ScotApp_1128,%s\n
ScotApp_1452,"Key in ID and touch ""Enter""."
ScotApp_183,183unused
ScotApp_1450,Lock Box
ScotApp_1293,P
ScotApp_1644,Note Recycler Cover Off
ScotApp_1115,REPORTING OFFLINE
ScotApp_795,Purchases monitored to ensure better service.
ScotApp_695,695unused
ScotApp_595,NCR SelfServ Checkout AuxDisp loading...
ScotApp_395,Restricted Items Not Allowed
ScotApp_295,295unused
ScotApp_195,Device Manager loaded.
ScotApp_566,566unused
ScotApp_1324,Weight remains on\nscale after transaction.
ScotApp_995,Go to lane and log into Store Mode to open lane.
ScotApp_895,DBM ending...
ScotApp_1102,Next
ScotApp_1383,(Exc)
ScotApp_1402,NOTE REJECT BIN JUMPER PLUG IS OFF.
ScotApp_1292,N - O
ScotApp_1114,"""End Report Period"" update successful"
ScotApp_1222,OUT OF SERVICE
ScotApp_1101,%s\t%s
ScotApp_1159,PinPad / EFT not responding.
ScotApp_1100,%s
ScotApp_1539,Please refer to the Device Manual to fix the error.
ScotApp_1649,(ddmmyyyy)
ScotApp_1317,Voucher Payment
ScotApp_1883,"Check BagScale and cart for extra items and touch ""Clear Security""."
ScotApp_729,729unused
ScotApp_629,Total Charge:
ScotApp_429,Red
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,Verify voided items have been put aside.
ScotApp_1107,%s\t%s\tQty %s @ %s/%s\t%s
ScotApp_1538,Please refer to the Device Manual to fix the error.
ScotApp_929,WLDB not communicating correctly.
ScotApp_829,829unused
ScotApp_1316,* Open printer cover and check for paper jam in the area shown.\n* Close printer cover and reload paper.
ScotApp_81,Continue
ScotApp_1882,Smart Assist alert - item not scanned.
ScotApp_1673,Coin Jam
ScotApp_1135,Note Dispenser Error
ScotApp_1705,Communication error.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Birthdate Entered: %s, %d years old"
ScotApp_1398, Attd/Train
