AmountSaved,Amount Saved
SuspendNowButtonText,Suspend Now
RequestSuspendButtonText,Request Suspend
NotConnectedText,Not connected.
ConnectingText,Connecting...Please Wait
ApprovalNeededText,Approvals Needed:
SuspendReasonText3,Suspend: Other
ClearRequestButtonText,Clear Request
ApproveButtonText,Approve
RestrictedItemText,Restricted Items:
SuspendReasonText4,Suspend: Restricted
SecurityLogText,Security Log:
SuspendReasonText5,Suspend: Security
SignatureText,Signature:
SignatureAndNameText,Signature: %s
ConnectingLeadthru,Connecting to NCR SelfServ Checkout...Please wait
EnterIDLeadthru,Enter ID using keypad below.
EnterPasswordLeadthru,Enter password using keypad below.
LoggingInLeadthru,Logging in...Please wait
ApproveSecurityButtonText,Approve\nSecurity
ApprovalNeededButtonText,Approval Needed
VerifySignatureButtonText,Verify \nSignature
AllowSuspendButtonText,Allow Suspend
MainButtonText,Main
SuspendTransactionButtonText,Suspend Transaction
ApproveAndCollectButtonText,Approve & Collect
ClearApprovalsButtonText,Clear Approvals
BirthDateOver30ButtonText,Birthdate over 30
SignAgainButtonText,Sign Again
BackSpaceButtonText,Backspace
EnterButtonText,Enter
LaneNumberText,Lane: %d
RAPTitle,NCR SelfServ Checkout\nRemote Approval Station
CancelSuspendText,Cancel Suspend
OtherPaymentSelectedText,Other Payment selected
CouponCollectionText,Coupon Collection
PendingSuspendText,Pending Suspend
SignatureApprovalText,Signature Approval
LaneText,Lane
VideoButtonText,Video
ClearButtonText,Clear
QuantityButtonText,Quantity
FeesAndCustomerAgreementsTitle,Fees && Customer Agreements:
FeesButtonText,Fees
CustomerAgreementButtonText,Customer Agreement
FeesAndCustomerAgreementsLeadthru,Fees & Customer Agreements
TransactionSuspendedText,Transaction Suspended
POSMessageText,POS Message:
ConnectingWaitingText,"Please wait, connecting to NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Date not needed
AssistModeButtonText,Assist Mode
ClearSecurityButtonText,Clear Security
VisualApproveButtonText,Visual Approve
CheckAgeTitle,"Check Customer's Age"
CouponLimitExceededTitle,Coupon Limit Exceeded
VerifyItemAndPriceTitle,Verify Item and Price
UnknownItemTitle,Unknown Item Put Aside
ItemNotForSaleTitle,Item Not For Sale
ItemQuantityExceededTitle,Item Quantity Exceeded
TimeRestrictedItemTitle,Time Restricted Item
CheckAgeLeadthru,"Key in birth date %s and touch ""Enter""."
InvalidBirthDateFormatLeadthru,Format of Date Entered is invalid \nEnter again in %s format.
CouponLimitExceededLeadthru,"Touch ""Approve"" to allow coupon deposit at lane or touch ""Approve & Collect"" and collect from customer."
VisualApproveLeadthru,"Touch ""Visual Approve"", or touch ""Assist Mode"" to modify transaction."
UnknownItemLeadthru,"Collect item at lane and touch ""Clear Security"", or touch ""Assist Mode"" to complete transaction."
ItemNotForSaleLeadthru,"Collect item at lane and touch ""Clear Security""."
OffLineLaneButtonText,Offline
ExitText,Exit
EnterDataLaneButtonText,Enter Data
AgeCheckLaneButtonText,Age Check
CouponLaneButtonText,Coupon
VoidLaneButtonText,Void
VerifyItemLaneButtonText,Verify Item
NotFoundLaneButtonText,Not Found
NoSaleLaneButtonText,No Sale
QuantityLaneButtonText,Quantity
HelpLaneButtonText,Help
NoInterventionLeadthru,No Intervention is currently required.
OffLineLeadthru,The Lane is currently offline and the system is attempting to automatically reconnect.
CancelRequestButtonText,Cancel Request
HelpRequestTitle,Help Requested
SecurityLaneButtonText,Security
VoidLeadthru,"Collect voided item and touch ""Approve Void""."
ApproveVoidButtonText,Approve Void
SecurityLeadthru,"Monitor customer transaction for security and touch ""Clear Security""."
SecurityViolationText,Security Violation
OtherPaymentText,"""Other Payment"" Selected"
SuspendTransactionLeadthru,"Touch ""Suspend Transaction"" or ""Assist Mode"" and accept payment."
EASText,EAS Item still active
DeactivateLeadthru,"Deactivate item or remove hard tag and touch ""Clear Security""."
CompareSignatureTitle,Compare Signatures
CompareSignatureLeadthru,"Compare signatures and touch ""Approve"", or ""Sign Again""."
EnterPriceLeadthru,"Key in item's price and touch ""Enter""."
UtilityButtonText,Utility
ReturnToMainButtonText,Return to Main
GetDiagFilesButtonText,Get Diag Files
CouponApprovalLeadthru,"Accept coupons from customer at the approval station and touch ""Approve""."
RebootSystemButtonText,Reboot Entire System
ShutDownSystemButtonText,Shut Down Entire System
LaneStatusTitle,Lane Status
LaneStatusLeadthru,Select function.
AgeRestrictedText,Age restricted item; %2d yrs old
BirthdateEnterText,"Birthdate entered:%2d/%2d/%4d,%d years old"
HelpRequestLeadthru,"Touch ""Cancel Request"" after helping customer."
TotalText,Total:
ItemText,Items:
MultimediaTrainingText,Multimedia Training
VolumeControlButtonText,Volume Control
SecurityViolationNumText,Security Violations:
ItemPurchasedText,Items Purchased:
EnterPriceTitle,Price Entry
CancelTransactionGenericTitle,Cancel Transaction
CancelTransactionGenericLeadthru,"Touch ""Yes"" to cancel transaction or touch ""No"" to resume transaction."
YesButtonText,Yes
NoButtonText,No
ConfirmSuspendTitle,Suspend:
ConfirmSuspendLeadthru,Confirm Suspend.
ConfirmSuspendButtonText,Confirm Suspend
IncorrectItemWeightTitle,Incorrect weight on security scale.
IncorrectItemWeightLeadthru,"Remove item and touch ""Clear Security"", or touch ""Approve & Update Weight""."
ApproveUpdateButtonText,Approve & Update Weight
UnexpectedIncreaseTitle,Unexpected item on security scale.
UnexpectedIncreaseLeadthru,"Go to lane, remove extra items and touch ""Clear Security""."
SkipBaggingBtnThresholdLeadthru,"Check items at lane and touch ""Clear Security""."
NewWeightItemTitle,No record of item weight.
NewWeightItemLeadthru,"Verify item weight and touch ""Approve & Update Weight"", or touch ""Approve/No Update""."
ApproveNoUpdateButtonText,Approve/No Update.
BagItemTimerExpiredTitle,Weight expected on security scale.
TakeChangeTimerExpiredTitle,Take Change
TakeChangeTimerExpiredBottomCaption,Timer expired
PickingUpItemsTimerExpiredTitle,Items not returned to bagging area.
DeviceFailureTitle,Device Malfunction
DeviceFailureLeadthru,Go to lane and check device.
WLDBFailureTitle,WLDB not communicating correctly.
WLDBFailureLeadthru,Check the communication.
UnexpectedDecreaseTitle,Item removed from bagging area.
ClosedLaneTitle,Go to lane and log into Store Mode to open lane.
ClosedLaneLeadthru,Lane Closed
BagAreaBackupTitle,Backed Up Items on Belt
BagAreaBackupLeadthru,Clear backed up items on belt.
MinimumAgeText,Years old minimum.
SafetyCoverOpenLeadthru,Remove all items from belt and close safety cover.
VerifySignatureLeadthru,"Compare the customer's signature with the one on the card."
AssistedTenderTitle,Operator Assisted Tender
AssistedTenderLeadthru,Use assist mode to accept check from customer.
AssistedTenderHHLeadthru,Use the Attendant Station to accept payment.
AssistedEndorsementLeadthru,Endorsement Needed. Please wait for operator assistance.
StartTransactionButtonText,Start Transaction
StartTransactionTitle,Operator Assisted Functions
StartTransactionLeadthru,Select desired function.
StartTransactionAMButtonText,Start & Assist
ItemsForgottenTitle,Weight remains\non bag scale.
InsertCouponTimerExpiredTitle,Insert Coupon
CollectGiftCardTitle,Collect Gift Card
HostOfflineLeadthru,The Lane is offline and the system is attempting to reconnect.
SpaceButtonText,Space
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tQty %s @ %s/each\t%s
LaneReceiptItemType4,%s\t%s\tQty %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Close Lane
ReportingButtonText,Reporting
KeyInCodeTitle,Key In Code
KeyInCodeLeadthru,"Key in the item's code and touch ""OK""."
VoidItemButtonText,Void Item
ChangePriceButtonText,Price Change
ChangeQuantityButtonText,Quantity Change
ReturnToShoppingButtonText,Return to Shopping Mode
BasicAssistModeTitle,Assist Functions
BasicAssistModeLeadthru,Scan item or select function.
ChangePriceTitle,Change Price
KeyInPriceLeadthru,Key in price for: %d %s
VoidAllButtonText,Void All
VoidItemTitle,Void Items
VoidItemLeadthru,"Scan or scroll to item on receipt and touch ""Void Item"" or ""Void All""."
ChangeQuantityTitle,Change Quantity
KeyInQuantityLeadthru,Key in quantity for: %s
FullAssistButtonText,Full Assist
CloseButtonText,Close
UpdateItemLeadthru,"Scroll to item on receipt and touch ""Enter""."
OKButtonText,OK
CouponNoMatchLeadthru,Coupon does not match any item on receipt. This coupon cannot be accepted.
CouponTooHighLeadthru,The amount you entered for this coupon was too high.  This system cannot accept this coupon.
EnterCouponValueLeadthru,"Enter coupon's value in cents and touch ""Enter""."
ItemQuantityExceededLeadthru,You have exceeded the quantity allowed for this item.  Please put it aside and continue.
ProcessingLeadthru,Processing...Please wait.
VoidNoMatchLeadthru,"Cannot find scanned item.  It has not been purchased yet, or it has already been cancelled."
ConfirmAbortLeadthru,Do you want to stop checking out and cancel your entire purchase?
ContinueTransLeadthru,Would you like to continue with your purchase?
ConfirmQuantityTitle,Confirm Quantity
ConfirmVoidTitle,Confirm Cancel
CouponNoMatchTitle,Unmatched Coupon
